customer_id,customer_name,gender,age,city,signup_date
1,"Rahul Sharma",Male,24,Hyderabad,2025-01-10
2,"Priya Reddy",Female,26,Vijayawada,2025-01-15
3,"Arjun Kumar",Male,28,Chennai,2025-02-05
4,"Sneha Patel",Female,23,Bengaluru,2025-02-18
5,"Vikram Singh",Male,31,Delhi,2025-03-02
6,"Ananya Rao",Female,25,Hyderabad,2025-03-12
7,"Karthik Reddy",Male,27,Guntur,2025-03-25
8,"Divya Nair",Female,29,Kochi,2025-04-08
9,"Rohit Verma",Male,30,Mumbai,2025-04-20
10,"Meghana Das",Female,22,Kolkata,2025-05-03
11,"Sanjay Kumar",Male,26,Pune,2025-05-15
12,"Pooja Rani",Female,24,Visakhapatnam,2025-06-01
13,"Aditya Rao",Male,29,Hyderabad,2025-06-18
14,"Keerthi Lakshmi",Female,27,Bengaluru,2025-07-05
15,"Naveen Babu",Male,32,Vijayawada,2025-07-22
16,"Aishwarya Reddy",Female,25,Guntur,2025-08-10
17,"Manoj Kumar",Male,28,Chennai,2025-08-25
18,"Harini Devi",Female,23,Hyderabad,2025-09-12
19,"Suresh Naidu",Male,34,Visakhapatnam,2025-10-01
20,"Lakshmi Priya",Female,26,Pune,2025-10-18
21,"Customer 21",Male,39,Bengaluru,2024-01-22
22,"Customer 22",Female,40,Chennai,2024-01-23
23,"Customer 23",Male,41,Mumbai,2024-01-24
24,"Customer 24",Female,42,Delhi,2024-01-25
25,"Customer 25",Male,43,Pune,2024-01-26
26,"Customer 26",Female,44,Kolkata,2024-01-27
27,"Customer 27",Male,45,Guntur,2024-01-28
28,"Customer 28",Female,46,Vijayawada,2024-01-29
29,"Customer 29",Male,47,Visakhapatnam,2024-01-30
30,"Customer 30",Female,48,Hyderabad,2024-01-31
31,"Customer 31",Male,49,Bengaluru,2024-02-01
32,"Customer 32",Female,50,Chennai,2024-02-02
33,"Customer 33",Male,51,Mumbai,2024-02-03
34,"Customer 34",Female,52,Delhi,2024-02-04
35,"Customer 35",Male,53,Pune,2024-02-05
36,"Customer 36",Female,54,Kolkata,2024-02-06
37,"Customer 37",Male,55,Guntur,2024-02-07
38,"Customer 38",Female,56,Vijayawada,2024-02-08
39,"Customer 39",Male,57,Visakhapatnam,2024-02-09
40,"Customer 40",Female,58,Hyderabad,2024-02-10
41,"Customer 41",Male,59,Bengaluru,2024-02-11
42,"Customer 42",Female,60,Chennai,2024-02-12
43,"Customer 43",Male,18,Mumbai,2024-02-13
44,"Customer 44",Female,19,Delhi,2024-02-14
45,"Customer 45",Male,20,Pune,2024-02-15
46,"Customer 46",Female,21,Kolkata,2024-02-16
47,"Customer 47",Male,22,Guntur,2024-02-17
48,"Customer 48",Female,23,Vijayawada,2024-02-18
49,"Customer 49",Male,24,Visakhapatnam,2024-02-19
50,"Customer 50",Female,25,Hyderabad,2024-02-20
51,"Customer 51",Male,26,Bengaluru,2024-02-21
52,"Customer 52",Female,27,Chennai,2024-02-22
53,"Customer 53",Male,28,Mumbai,2024-02-23
54,"Customer 54",Female,29,Delhi,2024-02-24
55,"Customer 55",Male,30,Pune,2024-02-25
56,"Customer 56",Female,31,Kolkata,2024-02-26
57,"Customer 57",Male,32,Guntur,2024-02-27
58,"Customer 58",Female,33,Vijayawada,2024-02-28
59,"Customer 59",Male,34,Visakhapatnam,2024-02-29
60,"Customer 60",Female,35,Hyderabad,2024-03-01
61,"Customer 61",Male,36,Bengaluru,2024-03-02
62,"Customer 62",Female,37,Chennai,2024-03-03
63,"Customer 63",Male,38,Mumbai,2024-03-04
64,"Customer 64",Female,39,Delhi,2024-03-05
65,"Customer 65",Male,40,Pune,2024-03-06
66,"Customer 66",Female,41,Kolkata,2024-03-07
67,"Customer 67",Male,42,Guntur,2024-03-08
68,"Customer 68",Female,43,Vijayawada,2024-03-09
69,"Customer 69",Male,44,Visakhapatnam,2024-03-10
70,"Customer 70",Female,45,Hyderabad,2024-03-11
71,"Customer 71",Male,46,Bengaluru,2024-03-12
72,"Customer 72",Female,47,Chennai,2024-03-13
73,"Customer 73",Male,48,Mumbai,2024-03-14
74,"Customer 74",Female,49,Delhi,2024-03-15
75,"Customer 75",Male,50,Pune,2024-03-16
76,"Customer 76",Female,51,Kolkata,2024-03-17
77,"Customer 77",Male,52,Guntur,2024-03-18
78,"Customer 78",Female,53,Vijayawada,2024-03-19
79,"Customer 79",Male,54,Visakhapatnam,2024-03-20
80,"Customer 80",Female,55,Hyderabad,2024-03-21
81,"Customer 81",Male,56,Bengaluru,2024-03-22
82,"Customer 82",Female,57,Chennai,2024-03-23
83,"Customer 83",Male,58,Mumbai,2024-03-24
84,"Customer 84",Female,59,Delhi,2024-03-25
85,"Customer 85",Male,60,Pune,2024-03-26
86,"Customer 86",Female,18,Kolkata,2024-03-27
87,"Customer 87",Male,19,Guntur,2024-03-28
88,"Customer 88",Female,20,Vijayawada,2024-03-29
89,"Customer 89",Male,21,Visakhapatnam,2024-03-30
90,"Customer 90",Female,22,Hyderabad,2024-03-31
91,"Customer 91",Male,23,Bengaluru,2024-04-01
92,"Customer 92",Female,24,Chennai,2024-04-02
93,"Customer 93",Male,25,Mumbai,2024-04-03
94,"Customer 94",Female,26,Delhi,2024-04-04
95,"Customer 95",Male,27,Pune,2024-04-05
96,"Customer 96",Female,28,Kolkata,2024-04-06
97,"Customer 97",Male,29,Guntur,2024-04-07
98,"Customer 98",Female,30,Vijayawada,2024-04-08
99,"Customer 99",Male,31,Visakhapatnam,2024-04-09
100,"Customer 100",Female,32,Hyderabad,2024-04-10
101,"Customer 101",Male,33,Bengaluru,2024-04-11
102,"Customer 102",Female,34,Chennai,2024-04-12
103,"Customer 103",Male,35,Mumbai,2024-04-13
104,"Customer 104",Female,36,Delhi,2024-04-14
105,"Customer 105",Male,37,Pune,2024-04-15
106,"Customer 106",Female,38,Kolkata,2024-04-16
107,"Customer 107",Male,39,Guntur,2024-04-17
108,"Customer 108",Female,40,Vijayawada,2024-04-18
109,"Customer 109",Male,41,Visakhapatnam,2024-04-19
110,"Customer 110",Female,42,Hyderabad,2024-04-20
111,"Customer 111",Male,43,Bengaluru,2024-04-21
112,"Customer 112",Female,44,Chennai,2024-04-22
113,"Customer 113",Male,45,Mumbai,2024-04-23
114,"Customer 114",Female,46,Delhi,2024-04-24
115,"Customer 115",Male,47,Pune,2024-04-25
116,"Customer 116",Female,48,Kolkata,2024-04-26
117,"Customer 117",Male,49,Guntur,2024-04-27
118,"Customer 118",Female,50,Vijayawada,2024-04-28
119,"Customer 119",Male,51,Visakhapatnam,2024-04-29
120,"Customer 120",Female,52,Hyderabad,2024-04-30
