transaction_id,customer_id,transaction_date,product,category,quantity,unit_price,total_amount,payment_method
1001,1,2025-01-20,Laptop,Electronics,1,55000.00,55000.00,UPI
1002,2,2025-01-25,Headphones,Electronics,2,2500.00,5000.00,Card
1003,3,2025-02-10,Smartphone,Electronics,1,30000.00,30000.00,UPI
1004,1,2025-02-15,Keyboard,Accessories,1,1800.00,1800.00,Card
1005,4,2025-02-25,Monitor,Electronics,1,12000.00,12000.00,UPI
1006,5,2025-03-05,Shoes,Fashion,2,2500.00,5000.00,Cash
1007,6,2025-03-18,Backpack,Fashion,1,2200.00,2200.00,UPI
1008,7,2025-03-28,Smartwatch,Electronics,1,7000.00,7000.00,Card
1009,2,2025-04-05,Mouse,Accessories,2,900.00,1800.00,UPI
1010,8,2025-04-15,Tablet,Electronics,1,22000.00,22000.00,Card
1011,9,2025-04-25,T-Shirt,Fashion,3,800.00,2400.00,UPI
1012,10,2025-05-10,Laptop,Electronics,1,60000.00,60000.00,Card
1013,3,2025-05-20,Shoes,Fashion,1,3500.00,3500.00,UPI
1014,11,2025-06-02,Monitor,Electronics,1,15000.00,15000.00,UPI
1015,12,2025-06-15,Headphones,Electronics,1,3000.00,3000.00,Card
1016,1,2025-06-25,Smartphone,Electronics,1,28000.00,28000.00,UPI
1017,13,2025-07-05,Keyboard,Accessories,2,1500.00,3000.00,Card
1018,14,2025-07-18,Dress,Fashion,2,1800.00,3600.00,UPI
1019,15,2025-08-01,Laptop,Electronics,1,52000.00,52000.00,Card
1020,7,2025-08-15,Mouse,Accessories,1,1000.00,1000.00,UPI
1021,16,2025-09-01,Smartwatch,Electronics,1,6500.00,6500.00,UPI
1022,17,2025-09-12,T-Shirt,Fashion,2,900.00,1800.00,Cash
1023,18,2025-09-25,Tablet,Electronics,1,20000.00,20000.00,Card
1024,19,2025-10-05,Shoes,Fashion,1,4000.00,4000.00,UPI
1025,20,2025-10-20,Backpack,Fashion,2,2000.00,4000.00,UPI
1026,4,2025-11-02,Headphones,Electronics,1,2800.00,2800.00,Card
1027,5,2025-11-15,Smartphone,Electronics,1,32000.00,32000.00,UPI
1028,9,2025-11-25,Keyboard,Accessories,1,2000.00,2000.00,Card
1029,13,2025-12-05,Monitor,Electronics,1,14000.00,14000.00,UPI
1030,1,2025-12-20,Headphones,Electronics,1,3500.00,3500.00,Card
1031,1,2025-01-23,Smartphone,Electronics,2,30000.00,60000.00,Card
1032,2,2025-02-10,Headphones,Electronics,3,2500.00,7500.00,Cash
1033,3,2025-03-16,Monitor,Electronics,1,12000.00,12000.00,"Net Banking"
1034,4,2025-04-11,Keyboard,Accessories,2,1800.00,3600.00,UPI
1035,5,2025-05-06,Mouse,Accessories,3,900.00,2700.00,Card
1036,6,2025-05-29,Smartwatch,Electronics,1,7000.00,7000.00,Cash
1037,7,2025-06-24,Tablet,Electronics,2,22000.00,44000.00,"Net Banking"
1038,8,2025-07-21,Laptop,Electronics,3,55000.00,165000.00,UPI
1039,9,2025-08-15,Smartphone,Electronics,1,30000.00,30000.00,Card
1040,10,2025-09-10,Headphones,Electronics,2,2500.00,5000.00,Cash
1041,11,2025-10-05,Monitor,Electronics,3,12000.00,36000.00,"Net Banking"
1042,12,2025-11-04,Keyboard,Accessories,1,1800.00,1800.00,UPI
1043,13,2025-12-04,Mouse,Accessories,2,900.00,1800.00,Card
1044,14,2026-01-03,Smartwatch,Electronics,3,7000.00,21000.00,Cash
1045,15,2026-02-02,Tablet,Electronics,1,22000.00,22000.00,"Net Banking"
1046,16,2026-03-06,Laptop,Electronics,2,55000.00,110000.00,UPI
1047,17,2026-04-03,Smartphone,Electronics,3,30000.00,90000.00,Card
1048,18,2026-05-04,Headphones,Electronics,1,2500.00,2500.00,Cash
1049,19,2026-06-05,Monitor,Electronics,2,12000.00,24000.00,"Net Banking"
1050,20,2026-07-05,Keyboard,Accessories,3,1800.00,5400.00,UPI
1051,21,2024-10-21,Mouse,Accessories,1,900.00,900.00,Card
1052,22,2024-11-04,Smartwatch,Electronics,2,7000.00,14000.00,Cash
1053,23,2024-11-18,Tablet,Electronics,3,22000.00,66000.00,"Net Banking"
1054,24,2024-12-02,Laptop,Electronics,1,55000.00,55000.00,UPI
1055,25,2024-12-16,Smartphone,Electronics,2,30000.00,60000.00,Card
1056,26,2024-12-30,Headphones,Electronics,3,2500.00,7500.00,Cash
1057,27,2025-01-13,Monitor,Electronics,1,12000.00,12000.00,"Net Banking"
1058,28,2025-01-27,Keyboard,Accessories,2,1800.00,3600.00,UPI
1059,29,2025-02-10,Mouse,Accessories,3,900.00,2700.00,Card
1060,30,2025-02-24,Smartwatch,Electronics,1,7000.00,7000.00,Cash
1061,31,2025-03-10,Tablet,Electronics,2,22000.00,44000.00,"Net Banking"
1062,32,2025-03-24,Laptop,Electronics,3,55000.00,165000.00,UPI
1063,33,2025-04-07,Smartphone,Electronics,1,30000.00,30000.00,Card
1064,34,2025-04-21,Headphones,Electronics,2,2500.00,5000.00,Cash
1065,35,2025-05-05,Monitor,Electronics,3,12000.00,36000.00,"Net Banking"
1066,36,2025-05-19,Keyboard,Accessories,1,1800.00,1800.00,UPI
1067,37,2025-06-02,Mouse,Accessories,2,900.00,1800.00,Card
1068,38,2025-06-16,Smartwatch,Electronics,3,7000.00,21000.00,Cash
1069,39,2025-06-30,Tablet,Electronics,1,22000.00,22000.00,"Net Banking"
1070,40,2025-07-14,Laptop,Electronics,2,55000.00,110000.00,UPI
1071,41,2025-07-28,Smartphone,Electronics,3,30000.00,90000.00,Card
1072,42,2024-02-18,Headphones,Electronics,1,2500.00,2500.00,Cash
1073,43,2024-03-03,Monitor,Electronics,2,12000.00,24000.00,"Net Banking"
1074,44,2024-03-17,Keyboard,Accessories,3,1800.00,5400.00,UPI
1075,45,2024-03-31,Mouse,Accessories,1,900.00,900.00,Card
1076,46,2024-04-14,Smartwatch,Electronics,2,7000.00,14000.00,Cash
1077,47,2024-04-28,Tablet,Electronics,3,22000.00,66000.00,"Net Banking"
1078,48,2024-05-12,Laptop,Electronics,1,55000.00,55000.00,UPI
1079,49,2024-05-26,Smartphone,Electronics,2,30000.00,60000.00,Card
1080,50,2024-06-09,Headphones,Electronics,3,2500.00,7500.00,Cash
1081,51,2024-06-23,Monitor,Electronics,1,12000.00,12000.00,"Net Banking"
1082,52,2024-07-07,Keyboard,Accessories,2,1800.00,3600.00,UPI
1083,53,2024-07-21,Mouse,Accessories,3,900.00,2700.00,Card
1084,54,2024-08-04,Smartwatch,Electronics,1,7000.00,7000.00,Cash
1085,55,2024-08-18,Tablet,Electronics,2,22000.00,44000.00,"Net Banking"
1086,56,2024-09-01,Laptop,Electronics,3,55000.00,165000.00,UPI
1087,57,2024-09-15,Smartphone,Electronics,1,30000.00,30000.00,Card
1088,58,2024-09-29,Headphones,Electronics,2,2500.00,5000.00,Cash
1089,59,2024-10-13,Monitor,Electronics,3,12000.00,36000.00,"Net Banking"
1090,60,2024-10-27,Keyboard,Accessories,1,1800.00,1800.00,UPI
1091,61,2024-11-10,Mouse,Accessories,2,900.00,1800.00,Card
1092,62,2024-11-24,Smartwatch,Electronics,3,7000.00,21000.00,Cash
1093,63,2024-12-08,Tablet,Electronics,1,22000.00,22000.00,"Net Banking"
1094,64,2024-12-22,Laptop,Electronics,2,55000.00,110000.00,UPI
1095,65,2025-01-05,Smartphone,Electronics,3,30000.00,90000.00,Card
1096,66,2025-01-19,Headphones,Electronics,1,2500.00,2500.00,Cash
1097,67,2025-02-02,Monitor,Electronics,2,12000.00,24000.00,"Net Banking"
1098,68,2025-02-16,Keyboard,Accessories,3,1800.00,5400.00,UPI
1099,69,2025-03-02,Mouse,Accessories,1,900.00,900.00,Card
1100,70,2025-03-16,Smartwatch,Electronics,2,7000.00,14000.00,Cash
1101,71,2025-03-30,Tablet,Electronics,3,22000.00,66000.00,"Net Banking"
1102,72,2025-04-13,Laptop,Electronics,1,55000.00,55000.00,UPI
1103,73,2025-04-27,Smartphone,Electronics,2,30000.00,60000.00,Card
